Score,Age,Subject,Sex,ID
88.0,18,Maths,1,1
85.0,19,Maths,1,2
45.0,19,Maths,1,3
82.0,18,Maths,1,4
82.0,18,Maths,2,5
95.0,20,Maths,1,6
95.0,18,Maths,1,7
65.0,19,Maths,1,8
88.0,18,Maths,1,9
88.0,19,Maths,2,10
53.0,20,Maths,1,11
53.0,20,Maths,1,12
66.0,19,Maths,1,13
88.0,18,Maths,1,14
88.0,21,Maths,2,15
82.0,20,Maths,1,16
31.0,18,Maths,1,17
95.0,18,Maths,1,18
91.0,18,Maths,1,19
66.0,18,Maths,2,20
82.0,18,Maths,1,21
66.0,18,Maths,1,22
75.0,18,Maths,1,23
65.0,19,Maths,1,24
91.0,20,Maths,2,25
91.0,18,Maths,1,26
53.0,20,Maths,1,27
91.0,20,Maths,1,28
88.0,21,Maths,1,29
85.0,19,Maths,2,30
75.0,20,Maths,1,31
66.0,21,Maths,1,32
45.0,19,Maths,1,33
66.0,18,Maths,1,34
53.0,20,Maths,2,35
65.0,19,Maths,1,36
53.0,18,Maths,1,37
75.0,20,Maths,1,38
45.0,18,Maths,1,39
66.0,19,Maths,2,40
75.0,20,Maths,1,41
95.0,20,Maths,1,42
65.0,21,Maths,1,43
85.0,18,Maths,1,44
82.0,20,Maths,2,45
65.0,21,Maths,1,46
85.0,21,Maths,1,47
82.0,18,Maths,1,48
65.0,18,Maths,1,49
66.0,19,Maths,2,50
82.0,18,Maths,1,51
88.0,19,Maths,1,52
0.0,19,Maths,1,53
95.0,20,Maths,1,54
88.0,21,Maths,2,55
91.0,18,Maths,1,56
53.0,20,Maths,1,57
75.0,20,Maths,1,58
75.0,20,Maths,1,59
95.0,18,Maths,2,60
88.0,19,Maths,1,61
53.0,18,Maths,1,62
82.0,20,Maths,1,63
82.0,18,Maths,1,64
85.0,21,Maths,2,65
45.0,21,Maths,1,66
75.0,20,Maths,1,67
66.0,21,Maths,1,68
45.0,19,Maths,1,69
75.0,20,Maths,2,70
53.0,20,Maths,1,71
65.0,21,Maths,1,72
53.0,20,Maths,1,73
85.0,19,Maths,1,74
82.0,18,Maths,2,75
95.0,20,Maths,1,76
66.0,19,Maths,1,77
53.0,20,Maths,1,78
65.0,18,Maths,1,79
85.0,19,Maths,2,80
88.0,19,Maths,1,81
95.0,18,Maths,1,82
53.0,20,Maths,1,83
45.0,19,Maths,1,84
45.0,21,Maths,2,85
85.0,18,Maths,1,86
45.0,19,Maths,1,87
85.0,21,Maths,1,88
45.0,18,Maths,1,89
45.0,21,Maths,2,90
85.0,19,Maths,1,91
88.0,19,Maths,1,92
85.0,19,Maths,1,93
91.0,18,Maths,1,94
65.0,19,Maths,2,95
75.0,18,Maths,1,96
88.0,19,Maths,1,97
95.0,18,Maths,1,98
65.0,21,Maths,1,99
65.0,19,Maths,2,100
45.0,18,Maths,1,101
53.0,20,Maths,1,102
95.0,18,Maths,1,103
66.0,21,Maths,1,104
82.0,18,Maths,2,105
65.0,19,Maths,1,106
45.0,21,Maths,1,107
85.0,21,Maths,1,108
45.0,19,Maths,1,109
85.0,21,Maths,2,110
65.0,21,Maths,1,111
85.0,18,Maths,1,112
88.0,19,Maths,1,113
45.0,19,Maths,1,114
95.0,20,Maths,2,115
88.0,21,Maths,1,116
75.0,18,Maths,1,117
53.0,20,Maths,1,118
82.0,20,Maths,1,119
85.0,21,Maths,2,120
91.0,18,Maths,1,121
88.0,18,Maths,1,122
85.0,21,Maths,1,123
45.0,19,Maths,1,124
53.0,18,Maths,2,125
95.0,20,Maths,1,126
45.0,21,Maths,1,127
75.0,20,Maths,1,128
66.0,21,Maths,1,129
75.0,18,Maths,2,130
66.0,18,Maths,1,131
75.0,20,Maths,1,132
53.0,18,Maths,1,133
85.0,18,Maths,1,134
85.0,18,Maths,2,135
65.0,21,Maths,1,136
65.0,21,Maths,1,137
91.0,20,Maths,1,138
85.0,21,Maths,1,139
45.0,21,Maths,2,140
82.0,18,Maths,1,141
95.0,20,Maths,1,142
85.0,18,Maths,1,143
66.0,18,Maths,1,144
88.0,21,Maths,2,145
82.0,20,Maths,1,146
53.0,18,Maths,1,147
88.0,19,Maths,1,148
45.0,18,Maths,1,149
65.0,21,Maths,2,150
95.0,18,Maths,1,151
31.0,18,Maths,1,152
66.0,18,Maths,1,153
45.0,19,Maths,1,154
53.0,18,Maths,2,155
45.0,19,Maths,1,156
53.0,18,Maths,1,157
91.0,18,Maths,1,158
85.0,19,Maths,1,159
53.0,18,Maths,2,160
88.0,18,Maths,1,161
88.0,18,Maths,1,162
82.0,18,Maths,1,163
85.0,19,Maths,1,164
45.0,18,Maths,2,165
82.0,20,Maths,1,166
91.0,18,Maths,1,167
65.0,19,Maths,1,168
65.0,19,Maths,1,169
75.0,18,Maths,2,170
88.0,18,Maths,1,171
65.0,18,Maths,1,172
53.0,20,Maths,1,173
88.0,19,Maths,1,174
45.0,19,Maths,2,175
95.0,18,Maths,1,176
75.0,18,Maths,1,177
53.0,20,Maths,1,178
53.0,18,Maths,1,179
95.0,18,Maths,2,180
95.0,20,Maths,1,181
85.0,19,Maths,1,182
88.0,19,Maths,1,183
88.0,19,Maths,1,184
95.0,20,Maths,2,185
75.0,20,Maths,1,186
75.0,20,Maths,1,187
95.0,20,Maths,1,188
91.0,20,Maths,1,189
82.0,18,Maths,2,190
85.0,19,Maths,1,191
91.0,18,Maths,1,192
85.0,19,Maths,1,193
85.0,21,Maths,1,194
91.0,20,Maths,2,195
91.0,18,Maths,1,196
85.0,21,Maths,1,197
95.0,20,Maths,1,198
88.0,21,Maths,1,199
53.0,18,Maths,2,200
66.0,18,Maths,1,201
91.0,20,Maths,1,202
45.0,19,Maths,1,203
85.0,19,Maths,1,204
82.0,18,Maths,2,205
66.0,19,Maths,1,206
75.0,20,Maths,1,207
75.0,18,Maths,1,208
95.0,18,Maths,1,209
66.0,19,Maths,2,210
66.0,21,Maths,1,211
88.0,19,Maths,1,212
88.0,19,Maths,1,213
75.0,18,Maths,1,214
66.0,19,Maths,2,215
88.0,19,Maths,1,216
82.0,20,Maths,1,217
82.0,18,Maths,1,218
45.0,19,Maths,1,219
95.0,18,Maths,2,220
66.0,19,Maths,1,221
85.0,21,Maths,1,222
82.0,18,Maths,1,223
91.0,18,Maths,1,224
85.0,21,Maths,2,225
95.0,20,Maths,1,226
53.0,20,Maths,1,227
91.0,20,Maths,1,228
45.0,19,Maths,1,229
65.0,18,Maths,2,230
75.0,20,Maths,1,231
91.0,18,Maths,1,232
53.0,20,Maths,1,233
53.0,18,Maths,1,234
53.0,18,Maths,2,235
95.0,18,Maths,1,236
75.0,20,Maths,1,237
95.0,20,Maths,1,238
82.0,18,Maths,1,239
53.0,18,Maths,2,240
95.0,18,Maths,1,241
75.0,20,Maths,1,242
66.0,18,Maths,1,243
91.0,20,Maths,1,244
91.0,20,Maths,2,245
85.0,18,Maths,1,246
75.0,20,Maths,1,247
66.0,18,Maths,1,248
75.0,20,Maths,1,249
88.0,19,Maths,2,250
88.0,18,Maths,1,251
82.0,20,Maths,1,252
65.0,18,Maths,1,253
45.0,19,Maths,1,254
85.0,18,Maths,2,255
65.0,19,Maths,1,256
75.0,20,Maths,1,257
75.0,18,Maths,1,258
53.0,20,Maths,1,259
45.0,18,Maths,2,260
91.0,18,Maths,1,261
95.0,18,Maths,1,262
95.0,18,Maths,1,263
82.0,20,Maths,1,264
53.0,18,Maths,2,265
66.0,21,Maths,1,266
45.0,19,Maths,1,267
82.0,20,Maths,1,268
65.0,19,Maths,1,269
65.0,19,Maths,2,270
88.0,21,Maths,1,271
82.0,20,Maths,1,272
95.0,18,Maths,1,273
53.0,20,Maths,1,274
91.0,18,Maths,2,275
65.0,19,Maths,1,276
65.0,19,Maths,1,277
91.0,18,Maths,1,278
66.0,18,Maths,1,279
65.0,19,Maths,2,280
45.0,19,Maths,1,281
91.0,20,Maths,1,282
45.0,21,Maths,1,283
53.0,20,Maths,1,284
75.0,18,Maths,2,285
53.0,18,Maths,1,286
95.0,18,Maths,1,287
95.0,18,Maths,1,288
85.0,19,Maths,1,289
91.0,20,Maths,2,290
66.0,19,Maths,1,291
95.0,20,Maths,1,292
88.0,19,Maths,1,293
85.0,19,Maths,1,294
66.0,18,Maths,2,295
95.0,20,Maths,1,296
91.0,18,Maths,1,297
95.0,20,Maths,1,298
85.0,18,Maths,1,299
91.0,18,Maths,2,300
64.0,19,Maths,1,301
53.0,18,Maths,1,302
85.0,19,Maths,1,303
66.0,21,Maths,1,304
53.0,20,Maths,2,305
82.0,20,Maths,1,306
75.0,18,Maths,1,307
75.0,18,Maths,1,308
64.0,19,Maths,1,309
88.0,19,Maths,2,310
91.0,20,Maths,1,311
75.0,18,Maths,1,312
66.0,21,Maths,1,313
82.0,18,Maths,1,314
45.0,21,Maths,2,315
66.0,19,Maths,1,316
66.0,19,Maths,1,317
91.0,20,Maths,1,318
66.0,19,Maths,1,319
75.0,18,Maths,2,320
91.0,20,Maths,1,321
45.0,18,Maths,1,322
75.0,18,Maths,1,323
75.0,20,Maths,1,324
65.0,21,Maths,2,325
66.0,19,Maths,1,326
85.0,19,Maths,1,327
65.0,21,Maths,1,328
95.0,20,Maths,1,329
95.0,18,Maths,2,330
95.0,18,Maths,1,331
53.0,20,Maths,1,332
66.0,19,Maths,1,333
66.0,18,Maths,1,334
53.0,20,Maths,2,335
95.0,20,Maths,1,336
91.0,20,Maths,1,337
65.0,19,Maths,1,338
88.0,18,Maths,1,339
88.0,21,Maths,2,340
65.0,19,Maths,1,341
66.0,19,Maths,1,342
66.0,21,Maths,1,343
45.0,18,Maths,1,344
88.0,21,Maths,2,345
95.0,20,Maths,1,346
66.0,19,Maths,1,347
91.0,18,Maths,1,348
85.0,19,Maths,1,349
65.0,19,Maths,2,350
75.0,18,Maths,1,351
31.0,18,Maths,1,352
65.0,18,Maths,1,353
95.0,18,Maths,1,354
82.0,20,Maths,2,355
82.0,18,Maths,1,356
65.0,18,Maths,1,357
88.0,21,Maths,1,358
75.0,18,Maths,1,359
45.0,21,Maths,2,360
45.0,18,Maths,1,361
75.0,20,Maths,1,362
88.0,19,Maths,1,363
85.0,19,Maths,1,364
66.0,19,Maths,2,365
66.0,18,Maths,1,366
75.0,20,Maths,1,367
75.0,20,Maths,1,368
45.0,19,Maths,1,369
91.0,20,Maths,2,370
91.0,18,Maths,1,371
82.0,18,Maths,1,372
75.0,20,Maths,1,373
91.0,20,Maths,1,374
88.0,19,Maths,2,375
88.0,21,Maths,1,376
66.0,19,Maths,1,377
95.0,18,Maths,1,378
45.0,18,Maths,1,379
53.0,20,Maths,2,380
91.0,20,Maths,1,381
75.0,18,Maths,1,382
66.0,21,Maths,1,383
66.0,19,Maths,1,384
91.0,20,Maths,2,385
85.0,18,Maths,1,386
82.0,20,Maths,1,387
66.0,19,Maths,1,388
75.0,18,Maths,1,389
91.0,18,Maths,2,390
45.0,19,Maths,1,391
0.0,20,Maths,1,392
91.0,20,Maths,1,393
75.0,18,Maths,1,394
82.0,20,Maths,2,395
95.0,20,Maths,1,396
88.0,19,Maths,1,397
65.0,19,Maths,1,398
85.0,21,Maths,1,399
91.0,18,Maths,2,400
91.0,20,Maths,1,401
53.0,20,Maths,1,402
95.0,20,Maths,1,403
95.0,18,Maths,1,404
53.0,18,Maths,2,405
45.0,19,Maths,1,406
75.0,18,Maths,1,407
65.0,18,Maths,1,408
45.0,19,Maths,1,409
82.0,18,Maths,2,410
82.0,18,Maths,1,411
66.0,19,Maths,1,412
65.0,21,Maths,1,413
66.0,19,Maths,1,414
95.0,18,Maths,2,415
45.0,21,Maths,1,416
65.0,19,Maths,1,417
88.0,19,Maths,1,418
65.0,19,Maths,1,419
85.0,18,Maths,2,420
75.0,18,Maths,1,421
82.0,20,Maths,1,422
82.0,20,Maths,1,423
66.0,21,Maths,1,424
85.0,19,Maths,2,425
75.0,18,Maths,1,426
91.0,20,Maths,1,427
65.0,19,Maths,1,428
82.0,20,Maths,1,429
45.0,18,Maths,2,430
95.0,20,Maths,1,431
88.0,18,Maths,1,432
53.0,18,Maths,1,433
82.0,18,Maths,1,434
66.0,19,Maths,2,435
91.0,20,Maths,1,436
45.0,18,Maths,1,437
53.0,18,Maths,1,438
85.0,19,Maths,1,439
91.0,18,Maths,2,440
53.0,18,Maths,1,441
88.0,19,Maths,1,442
85.0,18,Maths,1,443
45.0,19,Maths,1,444
53.0,18,Maths,2,445
75.0,20,Maths,1,446
85.0,19,Maths,1,447
66.0,19,Maths,1,448
82.0,20,Maths,1,449
85.0,19,Maths,2,450
82.0,20,Maths,1,451
82.0,18,Maths,1,452
95.0,18,Maths,1,453
85.0,19,Maths,1,454
75.0,20,Maths,2,455
91.0,20,Maths,1,456
95.0,18,Maths,1,457
95.0,20,Maths,1,458
53.0,18,Maths,1,459
85.0,18,Maths,2,460
95.0,20,Maths,1,461
65.0,19,Maths,1,462
91.0,20,Maths,1,463
75.0,20,Maths,1,464
45.0,21,Maths,2,465
53.0,20,Maths,1,466
88.0,21,Maths,1,467
66.0,18,Maths,1,468
53.0,18,Maths,1,469
82.0,18,Maths,2,470
82.0,18,Maths,1,471
53.0,20,Maths,1,472
85.0,21,Maths,1,473
45.0,21,Maths,1,474
91.0,20,Maths,2,475
82.0,20,Maths,1,476
45.0,19,Maths,1,477
75.0,18,Maths,1,478
95.0,18,Maths,1,479
88.0,21,Maths,2,480
88.0,19,Maths,1,481
85.0,18,Maths,1,482
82.0,20,Maths,1,483
66.0,19,Maths,1,484
88.0,18,Maths,2,485
91.0,20,Maths,1,486
95.0,20,Maths,1,487
75.0,18,Maths,1,488
75.0,18,Maths,1,489
53.0,20,Maths,2,490
88.0,18,Maths,1,491
82.0,20,Maths,1,492
88.0,19,Maths,1,493
91.0,20,Maths,1,494
75.0,18,Maths,2,495
75.0,18,Maths,1,496
91.0,18,Maths,1,497
85.0,19,Maths,1,498
88.0,18,Maths,1,499
53.0,18,Maths,2,500
53.0,20,Maths,1,501
65.0,18,Maths,1,502
91.0,18,Maths,1,503
91.0,18,Maths,1,504
45.0,19,Maths,2,505
66.0,21,Maths,1,506
66.0,21,Maths,1,507
53.0,18,Maths,1,508
65.0,19,Maths,1,509
53.0,18,Maths,2,510
91.0,18,Maths,1,511
82.0,20,Maths,1,512
45.0,19,Maths,1,513
65.0,19,Maths,1,514
65.0,18,Maths,2,515
53.0,18,Maths,1,516
82.0,18,Maths,1,517
88.0,19,Maths,1,518
95.0,20,Maths,1,519
64.0,19,Maths,2,520
82.0,20,Maths,1,521
45.0,19,Maths,1,522
53.0,18,Maths,1,523
45.0,21,Maths,1,524
85.0,19,Maths,2,525
91.0,18,Maths,1,526
75.0,20,Maths,1,527
88.0,18,Maths,1,528
45.0,19,Maths,1,529
88.0,19,Maths,2,530
45.0,18,Maths,1,531
65.0,21,Maths,1,532
45.0,21,Maths,1,533
88.0,21,Maths,1,534
95.0,20,Maths,2,535
95.0,20,Maths,1,536
82.0,18,Maths,1,537
65.0,19,Maths,1,538
91.0,18,Maths,1,539
65.0,18,Maths,2,540
66.0,21,Maths,1,541
95.0,18,Maths,1,542
82.0,18,Maths,1,543
75.0,20,Maths,1,544
82.0,20,Maths,2,545
85.0,19,Maths,1,546
65.0,19,Maths,1,547
88.0,18,Maths,1,548
85.0,19,Maths,1,549
82.0,20,Maths,2,550
82.0,18,Maths,1,551
91.0,18,Maths,1,552
85.0,19,Maths,1,553
65.0,21,Maths,1,554
66.0,19,Maths,2,555
82.0,18,Maths,1,556
66.0,19,Maths,1,557
65.0,19,Maths,1,558
91.0,18,Maths,1,559
95.0,20,Maths,2,560
66.0,18,Maths,1,561
53.0,20,Maths,1,562
65.0,19,Maths,1,563
45.0,18,Maths,1,564
0.0,21,Maths,2,565
65.0,18,Maths,1,566
66.0,21,Maths,1,567
53.0,18,Maths,1,568
95.0,20,Maths,1,569
65.0,19,Maths,2,570
45.0,19,Maths,1,571
82.0,20,Maths,1,572
53.0,18,Maths,1,573
85.0,18,Maths,1,574
75.0,20,Maths,2,575
85.0,21,Maths,1,576
75.0,18,Maths,1,577
85.0,19,Maths,1,578
82.0,18,Maths,1,579
65.0,21,Maths,2,580
95.0,18,Maths,1,581
91.0,20,Maths,1,582
45.0,21,Maths,1,583
95.0,18,Maths,1,584
91.0,18,Maths,2,585
53.0,20,Maths,1,586
85.0,19,Maths,1,587
45.0,18,Maths,1,588
88.0,19,Maths,1,589
82.0,20,Maths,2,590
65.0,19,Maths,1,591
88.0,19,Maths,1,592
91.0,20,Maths,1,593
88.0,19,Maths,1,594
45.0,19,Maths,2,595
75.0,18,Maths,1,596
53.0,20,Maths,1,597
75.0,20,Maths,1,598
88.0,19,Maths,1,599
82.0,18,Data Structue,1,1
79.0,19,Data Structue,1,2
39.0,19,Data Structue,1,3
76.0,18,Data Structue,1,4
76.0,18,Data Structue,2,5
89.0,20,Data Structue,1,6
89.0,18,Data Structue,1,7
59.0,19,Data Structue,1,8
82.0,18,Data Structue,1,9
82.0,19,Data Structue,2,10
47.0,20,Data Structue,1,11
47.0,20,Data Structue,1,12
60.0,19,Data Structue,1,13
82.0,18,Data Structue,1,14
82.0,21,Data Structue,2,15
76.0,20,Data Structue,1,16
25.0,18,Data Structue,1,17
89.0,18,Data Structue,1,18
85.0,18,Data Structue,1,19
60.0,18,Data Structue,2,20
76.0,18,Data Structue,1,21
60.0,18,Data Structue,1,22
69.0,18,Data Structue,1,23
59.0,19,Data Structue,1,24
85.0,20,Data Structue,2,25
85.0,18,Data Structue,1,26
47.0,20,Data Structue,1,27
85.0,20,Data Structue,1,28
82.0,21,Data Structue,1,29
79.0,19,Data Structue,2,30
69.0,20,Data Structue,1,31
60.0,21,Data Structue,1,32
39.0,19,Data Structue,1,33
0.0,18,Data Structue,1,34
47.0,20,Data Structue,2,35
59.0,19,Data Structue,1,36
47.0,18,Data Structue,1,37
69.0,20,Data Structue,1,38
39.0,18,Data Structue,1,39
60.0,19,Data Structue,2,40
69.0,20,Data Structue,1,41
89.0,20,Data Structue,1,42
59.0,21,Data Structue,1,43
79.0,18,Data Structue,1,44
76.0,20,Data Structue,2,45
59.0,21,Data Structue,1,46
79.0,21,Data Structue,1,47
76.0,18,Data Structue,1,48
59.0,18,Data Structue,1,49
60.0,19,Data Structue,2,50
76.0,18,Data Structue,1,51
82.0,19,Data Structue,1,52
39.0,19,Data Structue,1,53
89.0,20,Data Structue,1,54
82.0,21,Data Structue,2,55
85.0,18,Data Structue,1,56
47.0,20,Data Structue,1,57
69.0,20,Data Structue,1,58
69.0,20,Data Structue,1,59
89.0,18,Data Structue,2,60
82.0,19,Data Structue,1,61
47.0,18,Data Structue,1,62
76.0,20,Data Structue,1,63
76.0,18,Data Structue,1,64
79.0,21,Data Structue,2,65
39.0,21,Data Structue,1,66
69.0,20,Data Structue,1,67
60.0,21,Data Structue,1,68
39.0,19,Data Structue,1,69
69.0,20,Data Structue,2,70
47.0,20,Data Structue,1,71
59.0,21,Data Structue,1,72
47.0,20,Data Structue,1,73
79.0,19,Data Structue,1,74
76.0,18,Data Structue,2,75
89.0,20,Data Structue,1,76
60.0,19,Data Structue,1,77
47.0,20,Data Structue,1,78
59.0,18,Data Structue,1,79
79.0,19,Data Structue,2,80
82.0,19,Data Structue,1,81
89.0,18,Data Structue,1,82
47.0,20,Data Structue,1,83
39.0,19,Data Structue,1,84
39.0,21,Data Structue,2,85
79.0,18,Data Structue,1,86
0.0,19,Data Structue,1,87
79.0,21,Data Structue,1,88
39.0,18,Data Structue,1,89
39.0,21,Data Structue,2,90
79.0,19,Data Structue,1,91
82.0,19,Data Structue,1,92
79.0,19,Data Structue,1,93
85.0,18,Data Structue,1,94
59.0,19,Data Structue,2,95
69.0,18,Data Structue,1,96
82.0,19,Data Structue,1,97
89.0,18,Data Structue,1,98
59.0,21,Data Structue,1,99
59.0,19,Data Structue,2,100
39.0,18,Data Structue,1,101
47.0,20,Data Structue,1,102
89.0,18,Data Structue,1,103
60.0,21,Data Structue,1,104
76.0,18,Data Structue,2,105
59.0,19,Data Structue,1,106
39.0,21,Data Structue,1,107
79.0,21,Data Structue,1,108
39.0,19,Data Structue,1,109
79.0,21,Data Structue,2,110
59.0,21,Data Structue,1,111
79.0,18,Data Structue,1,112
82.0,19,Data Structue,1,113
39.0,19,Data Structue,1,114
89.0,20,Data Structue,2,115
82.0,21,Data Structue,1,116
69.0,18,Data Structue,1,117
47.0,20,Data Structue,1,118
76.0,20,Data Structue,1,119
79.0,21,Data Structue,2,120
85.0,18,Data Structue,1,121
82.0,18,Data Structue,1,122
79.0,21,Data Structue,1,123
39.0,19,Data Structue,1,124
47.0,18,Data Structue,2,125
89.0,20,Data Structue,1,126
39.0,21,Data Structue,1,127
69.0,20,Data Structue,1,128
60.0,21,Data Structue,1,129
69.0,18,Data Structue,2,130
60.0,18,Data Structue,1,131
69.0,20,Data Structue,1,132
47.0,18,Data Structue,1,133
79.0,18,Data Structue,1,134
79.0,18,Data Structue,2,135
59.0,21,Data Structue,1,136
59.0,21,Data Structue,1,137
85.0,20,Data Structue,1,138
79.0,21,Data Structue,1,139
0.0,21,Data Structue,2,140
76.0,18,Data Structue,1,141
89.0,20,Data Structue,1,142
79.0,18,Data Structue,1,143
60.0,18,Data Structue,1,144
82.0,21,Data Structue,2,145
76.0,20,Data Structue,1,146
47.0,18,Data Structue,1,147
82.0,19,Data Structue,1,148
39.0,18,Data Structue,1,149
59.0,21,Data Structue,2,150
89.0,18,Data Structue,1,151
25.0,18,Data Structue,1,152
60.0,18,Data Structue,1,153
39.0,19,Data Structue,1,154
47.0,18,Data Structue,2,155
39.0,19,Data Structue,1,156
47.0,18,Data Structue,1,157
85.0,18,Data Structue,1,158
79.0,19,Data Structue,1,159
47.0,18,Data Structue,2,160
82.0,18,Data Structue,1,161
0.0,18,Data Structue,1,162
76.0,18,Data Structue,1,163
79.0,19,Data Structue,1,164
39.0,18,Data Structue,2,165
76.0,20,Data Structue,1,166
85.0,18,Data Structue,1,167
59.0,19,Data Structue,1,168
59.0,19,Data Structue,1,169
69.0,18,Data Structue,2,170
82.0,18,Data Structue,1,171
59.0,18,Data Structue,1,172
47.0,20,Data Structue,1,173
82.0,19,Data Structue,1,174
39.0,19,Data Structue,2,175
89.0,18,Data Structue,1,176
69.0,18,Data Structue,1,177
47.0,20,Data Structue,1,178
47.0,18,Data Structue,1,179
89.0,18,Data Structue,2,180
89.0,20,Data Structue,1,181
79.0,19,Data Structue,1,182
82.0,19,Data Structue,1,183
82.0,19,Data Structue,1,184
89.0,20,Data Structue,2,185
69.0,20,Data Structue,1,186
69.0,20,Data Structue,1,187
89.0,20,Data Structue,1,188
85.0,20,Data Structue,1,189
76.0,18,Data Structue,2,190
79.0,19,Data Structue,1,191
85.0,18,Data Structue,1,192
79.0,19,Data Structue,1,193
79.0,21,Data Structue,1,194
85.0,20,Data Structue,2,195
85.0,18,Data Structue,1,196
79.0,21,Data Structue,1,197
89.0,20,Data Structue,1,198
82.0,21,Data Structue,1,199
47.0,18,Data Structue,2,200
60.0,18,Data Structue,1,201
85.0,20,Data Structue,1,202
39.0,19,Data Structue,1,203
79.0,19,Data Structue,1,204
76.0,18,Data Structue,2,205
60.0,19,Data Structue,1,206
69.0,20,Data Structue,1,207
69.0,18,Data Structue,1,208
89.0,18,Data Structue,1,209
60.0,19,Data Structue,2,210
60.0,21,Data Structue,1,211
82.0,19,Data Structue,1,212
82.0,19,Data Structue,1,213
69.0,18,Data Structue,1,214
60.0,19,Data Structue,2,215
0.0,19,Data Structue,1,216
76.0,20,Data Structue,1,217
76.0,18,Data Structue,1,218
39.0,19,Data Structue,1,219
89.0,18,Data Structue,2,220
60.0,19,Data Structue,1,221
79.0,21,Data Structue,1,222
76.0,18,Data Structue,1,223
85.0,18,Data Structue,1,224
79.0,21,Data Structue,2,225
89.0,20,Data Structue,1,226
47.0,20,Data Structue,1,227
85.0,20,Data Structue,1,228
39.0,19,Data Structue,1,229
59.0,18,Data Structue,2,230
69.0,20,Data Structue,1,231
85.0,18,Data Structue,1,232
47.0,20,Data Structue,1,233
47.0,18,Data Structue,1,234
47.0,18,Data Structue,2,235
89.0,18,Data Structue,1,236
69.0,20,Data Structue,1,237
89.0,20,Data Structue,1,238
76.0,18,Data Structue,1,239
47.0,18,Data Structue,2,240
89.0,18,Data Structue,1,241
69.0,20,Data Structue,1,242
60.0,18,Data Structue,1,243
85.0,20,Data Structue,1,244
85.0,20,Data Structue,2,245
79.0,18,Data Structue,1,246
69.0,20,Data Structue,1,247
60.0,18,Data Structue,1,248
69.0,20,Data Structue,1,249
82.0,19,Data Structue,2,250
82.0,18,Data Structue,1,251
76.0,20,Data Structue,1,252
59.0,18,Data Structue,1,253
39.0,19,Data Structue,1,254
79.0,18,Data Structue,2,255
59.0,19,Data Structue,1,256
69.0,20,Data Structue,1,257
69.0,18,Data Structue,1,258
47.0,20,Data Structue,1,259
39.0,18,Data Structue,2,260
85.0,18,Data Structue,1,261
89.0,18,Data Structue,1,262
89.0,18,Data Structue,1,263
76.0,20,Data Structue,1,264
47.0,18,Data Structue,2,265
60.0,21,Data Structue,1,266
39.0,19,Data Structue,1,267
76.0,20,Data Structue,1,268
59.0,19,Data Structue,1,269
59.0,19,Data Structue,2,270
82.0,21,Data Structue,1,271
76.0,20,Data Structue,1,272
89.0,18,Data Structue,1,273
47.0,20,Data Structue,1,274
85.0,18,Data Structue,2,275
59.0,19,Data Structue,1,276
59.0,19,Data Structue,1,277
85.0,18,Data Structue,1,278
60.0,18,Data Structue,1,279
59.0,19,Data Structue,2,280
39.0,19,Data Structue,1,281
85.0,20,Data Structue,1,282
39.0,21,Data Structue,1,283
47.0,20,Data Structue,1,284
69.0,18,Data Structue,2,285
47.0,18,Data Structue,1,286
89.0,18,Data Structue,1,287
89.0,18,Data Structue,1,288
79.0,19,Data Structue,1,289
85.0,20,Data Structue,2,290
60.0,19,Data Structue,1,291
89.0,20,Data Structue,1,292
82.0,19,Data Structue,1,293
79.0,19,Data Structue,1,294
60.0,18,Data Structue,2,295
89.0,20,Data Structue,1,296
85.0,18,Data Structue,1,297
89.0,20,Data Structue,1,298
79.0,18,Data Structue,1,299
85.0,18,Data Structue,2,300
58.0,19,Data Structue,1,301
47.0,18,Data Structue,1,302
79.0,19,Data Structue,1,303
60.0,21,Data Structue,1,304
47.0,20,Data Structue,2,305
76.0,20,Data Structue,1,306
69.0,18,Data Structue,1,307
69.0,18,Data Structue,1,308
58.0,19,Data Structue,1,309
82.0,19,Data Structue,2,310
85.0,20,Data Structue,1,311
69.0,18,Data Structue,1,312
60.0,21,Data Structue,1,313
76.0,18,Data Structue,1,314
39.0,21,Data Structue,2,315
60.0,19,Data Structue,1,316
60.0,19,Data Structue,1,317
85.0,20,Data Structue,1,318
60.0,19,Data Structue,1,319
69.0,18,Data Structue,2,320
85.0,20,Data Structue,1,321
